"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"MED134_04619",188,287,2121,617,729,774,1134,576,1318,1049,3075,1177,1287,2062,1720,1422,388,208,1388,695,1623,1098,465,935,1129,1787,1397,872,1058,1532,1470,1328,2146
"MED134_04614",1273,1217,1309,1678,2016,1353,2224,1312,2319,1542,2400,1527,1465,2747,1511,1351,927,658,1190,1680,1090,1248,1163,1862,1659,1581,1923,1441,1057,1061,871,932,2168
"MED134_04609",2087,2109,2165,3172,3756,2658,3931,2503,3991,2900,3444,2190,2173,3823,2398,2387,1763,1292,1982,3324,1884,2565,2263,3040,3138,2901,3480,2228,1871,2937,2961,2593,3768
"MED134_04604",4346,4486,4391,6251,7162,4784,7859,4462,6900,4722,5837,4480,3991,7762,6175,5331,3986,2955,4354,6654,3021,4451,3663,5353,5005,4821,6308,3956,4315,6499,6361,5684,8409
"MED134_04599",4954,5064,4174,7505,8397,6114,9748,5467,9061,6024,7909,5507,5603,10834,7660,5975,4458,3335,4481,7734,3489,5021,4709,6929,6706,6376,7345,5007,5594,7148,7397,6552,10563
"MED134_04594",3277,3424,4253,6893,6561,5148,8368,4537,5269,3675,5411,2468,2149,4086,3420,2798,3036,2508,3493,6508,3225,4734,3960,3582,3688,3246,3286,2347,2324,3325,3480,2941,4427
"MED134_04589",1297,1469,1599,1959,2190,1584,2597,1384,2330,1478,2403,1768,1553,3143,2483,1770,1061,867,1472,2053,1151,1607,1251,1513,1652,1645,2014,1455,1547,1900,1629,1759,2807
"MED134_04584",836,914,702,1196,1279,984,1548,803,1404,860,1149,883,801,1418,995,900,666,499,768,1174,609,786,760,909,960,894,1072,805,698,1061,1067,945,1468
"MED134_04579",536,561,642,1142,1188,754,1321,748,1234,985,1124,1246,969,1937,1771,1377,498,386,666,1289,679,965,809,948,1031,1024,1618,1065,1020,1604,1607,1467,2180
"MED134_04574",866,867,781,1997,2151,1441,2432,1502,2161,1717,2118,2139,1861,3879,2930,2422,915,641,872,2063,1004,1519,1473,1825,1745,1747,2769,1946,2001,2723,2520,2411,3653
"MED134_04569",2670,2706,2867,4363,4250,3701,5264,3322,4124,3081,3691,4452,4527,7772,5146,4399,2167,1756,2349,4520,2655,3339,3547,3033,3142,3125,5597,3971,3729,4137,3930,3826,6445
"MED134_04564",2344,2514,2597,3304,3570,2615,3963,2362,3649,2271,3127,2916,2718,4927,3025,2497,1667,1315,2278,3245,1914,2378,2281,2334,2488,2413,3771,2734,2196,2390,2098,2161,3988
"MED134_04559",1445,1491,1660,2060,2208,1488,2480,1442,2432,1505,2200,2129,1998,3690,2355,1733,1146,834,1669,2043,1262,1539,1360,1514,1521,1716,2682,1735,1365,1953,1864,1858,2642
"MED134_04554",1782,1805,1774,2828,2978,2504,3378,2103,3291,2315,3233,2113,2274,3821,2099,1882,1484,1080,1753,2859,1651,2195,2082,2334,2439,2463,2737,1905,1537,1908,1821,1710,2912
"MED134_04549",3402,3634,2993,5027,5427,3616,5575,3023,6515,3961,5624,4265,3960,7528,3976,2892,2554,1725,3002,4492,2302,2813,2816,4501,4159,3903,4604,3650,2530,3757,3749,3331,4988
"MED134_04544",1981,2139,1869,2910,3317,2220,3540,1889,4128,2357,3474,2640,2352,4601,2380,1825,1559,1014,1975,2726,1515,1739,1570,2694,2412,2455,3102,2103,1500,1977,1903,1827,2937
"MED134_04539",7003,7792,5749,8961,10313,6824,10747,6598,11847,7212,10565,6063,5739,11007,7469,6071,5531,3923,6006,8677,4832,5930,5263,8728,7922,7881,7797,5900,5426,6732,6182,5982,10446
"MED134_04534",998,1018,1077,1355,1351,1090,1746,925,1295,885,1321,617,585,966,960,720,760,567,965,1305,679,1008,825,909,959,971,702,506,506,677,637,628,998
"MED134_04529",354,391,401,666,648,572,885,520,655,476,634,337,324,570,488,415,318,222,339,659,402,454,533,441,461,495,341,334,292,270,227,218,544
"MED134_04524",889,1012,949,1543,1499,1341,2025,1083,1595,996,1533,679,597,1042,1017,505,806,602,817,1464,865,968,1118,1075,1030,1061,485,465,390,578,599,581,756
"MED134_04519",6924,8055,7736,16159,14090,14043,19803,9704,11761,6728,12038,3526,3636,6068,5790,3011,5535,4060,7468,12604,7643,7776,9465,6163,5883,5671,3836,2960,2763,4350,4424,4085,5758
"MED134_04514",2488,3233,3179,6512,5495,6568,9966,4516,4642,2696,3999,2224,2065,3800,3429,2115,2432,1755,2929,5192,3309,3880,3617,2532,2784,2684,2568,2125,1664,2628,2513,2296,3541
"MED134_04509",632,730,1145,1015,1024,828,1311,799,1196,891,1352,1141,1001,1927,1504,1213,503,447,1256,1027,547,807,583,935,928,857,1730,1218,1045,1341,1417,1245,1763
"MED134_04504",59,64,1453,115,129,126,165,108,143,141,263,201,221,405,255,208,71,43,1556,132,209,133,102,144,107,164,360,266,199,190,176,169,342
"MED134_04499",109,124,133,249,305,241,319,192,423,223,312,390,466,765,466,357,128,90,195,265,144,162,185,301,272,275,776,627,423,414,380,398,687
"MED134_04494",137,185,160,373,377,238,402,224,508,340,398,560,553,1049,724,630,185,136,196,394,198,258,278,381,379,367,1250,1021,704,801,814,718,1066
"MED134_04489",322,327,570,420,391,308,441,262,259,218,288,280,301,463,345,285,254,214,692,408,183,292,255,224,201,198,378,323,251,323,329,264,460
"MED134_04484",116363,131659,89038,110368,137529,74989,129327,75026,118698,70999,109903,107283,89796,193426,97672,93621,98137,68161,95787,111464,49497,64648,59767,93678,86086,70761,171830,109034,85877,120966,120181,109479,163088
"MED134_04479",1480,1837,1567,2246,2276,2024,2644,1476,2116,1515,2268,2056,2238,3455,2862,1806,1287,967,1762,1840,1158,1372,1508,1498,1465,1537,2066,1787,1645,1666,1517,1579,2870
"MED134_04469",897,998,941,1313,1500,1086,1771,927,1470,968,1476,1362,1165,2250,2010,1407,669,576,990,1245,726,1005,856,1034,1033,1067,1537,1074,1099,1433,1216,1218,2085
"MED134_04464",259,313,696,291,344,333,398,219,411,282,477,390,515,777,429,374,219,158,821,281,219,248,217,269,235,268,695,472,410,535,498,521,701
"MED134_04459",604,588,556,919,1037,684,1086,672,1178,738,1055,652,578,1119,742,609,483,374,535,877,437,579,501,855,771,742,739,581,487,743,731,675,1049
"MED134_04454",355,310,242,960,1058,656,1189,610,1238,782,1297,1006,740,1578,1342,826,257,161,254,744,315,449,435,800,660,644,905,656,698,778,725,740,1211
"MED134_04449",178,210,147,393,428,360,455,268,521,378,557,336,317,582,486,403,168,102,184,402,238,284,252,379,340,436,496,303,319,505,461,394,612
"MED134_04444",243,247,213,563,576,529,717,409,665,584,732,686,717,1226,829,676,179,161,199,539,362,503,459,533,561,612,882,730,573,458,373,462,1044
"MED134_04439",1511,2014,2159,1585,1957,1174,1840,1119,2357,1605,2694,1568,1461,2818,2670,2112,1260,949,2195,1587,1200,1347,1047,1605,1768,1901,2132,1651,1818,1744,1576,1668,3318
"MED134_04434",6046,6357,5012,6172,7281,3826,6219,3902,8210,4858,7536,3829,3503,6985,5135,4317,4832,3609,5465,6416,2719,4070,3365,5827,5520,4978,5784,3759,3924,4816,4790,4470,7472
"MED134_04429",6441,6515,4574,6591,7660,4174,7054,4330,8505,5279,7435,2812,2602,5255,3862,3674,5038,3933,5429,6428,3133,4182,3765,6289,6078,5240,4788,3150,3252,5065,5078,4631,7339
"MED134_04424",105,103,279,141,133,97,130,94,128,95,146,126,122,216,156,150,70,59,271,134,68,109,94,75,118,113,156,164,137,117,133,105,199
"MED134_04419",824,872,784,1523,1788,1308,1762,988,2065,1322,2037,1712,1610,2874,2112,1591,650,504,872,1451,839,978,882,1441,1392,1329,1926,1549,1334,1750,1829,1559,2239
"MED134_04414",1458,1534,1500,2710,3052,2160,3312,1910,3478,2488,3405,3387,3044,5757,4133,2988,1058,862,1479,2929,1659,2192,1986,2430,2653,2577,3903,2940,2775,3042,2840,2582,4405
"MED134_04409",1870,1980,1803,4062,4403,2914,4559,2747,5654,4106,5227,4598,3977,7663,6113,5321,1391,1226,1784,4244,1890,3030,2604,4422,4545,4106,5752,4018,4209,5594,5934,5204,7215
"MED134_04404",5602,6322,5002,8131,8795,6406,9766,5488,8891,5754,8947,6892,6468,11774,8774,5874,4554,3157,5152,7477,4140,5155,5065,6485,5860,6173,7607,5953,5331,7006,7200,6661,10087
"MED134_04399",750,927,810,1071,1209,962,1320,793,1249,828,1177,729,829,1449,980,690,603,397,789,978,738,683,885,871,840,856,1048,807,670,557,579,534,1226
"MED134_04394",379,385,597,532,568,413,631,354,456,409,592,322,332,563,978,675,315,242,502,491,348,427,333,384,371,434,434,312,486,841,872,705,954
"MED134_04389",838,885,842,1073,1160,967,1217,764,1171,759,1105,608,707,1109,985,750,770,537,884,1052,597,649,749,856,731,770,753,597,715,874,962,861,1156
"MED134_04384",837,916,790,1117,1182,856,1198,734,1375,786,1172,804,780,1357,1259,909,806,541,883,1042,603,590,719,889,832,815,1023,761,906,1179,1247,1131,1459
"MED134_04379",1626,1807,1351,2788,3056,1892,3163,2182,3224,2533,3238,2879,2347,5329,4079,3189,1400,915,1436,2727,1034,1862,1908,2432,2396,2346,3525,2632,2540,1697,1496,1521,4345
"MED134_04374",4906,4976,3745,9124,9505,6360,10510,6302,9882,8234,9421,10864,8956,18173,14043,10945,4354,2993,3791,8890,4763,5869,5745,7742,7606,7010,12717,8941,7930,9330,9145,8478,14407
"MED134_04369",1182,1296,684,1967,2386,1037,2400,1209,2400,1744,2348,1364,896,2323,1858,1847,843,750,889,1817,736,1365,941,2115,1992,1508,2107,1394,1352,2477,2760,2386,3245
"MED134_04364",1788,1810,1353,2093,2714,1465,2560,1462,3041,1749,2727,1525,1302,2692,2102,1684,1423,1006,1462,2140,943,1320,1090,2216,1986,1787,2095,1379,1538,1979,1970,1883,2857
"MED134_04359",7533,8064,6680,11480,12185,8971,13884,7857,10713,6573,9929,7304,7433,13393,10725,7374,6714,4785,6979,10492,5165,6942,6903,7727,7576,6611,8771,6240,6432,8840,8435,8078,12489
"MED134_04354",5238,6125,5956,8541,8872,6634,10355,5493,8731,5184,6197,6175,5806,11176,9148,6667,4661,3409,5567,8274,4450,5309,5364,5796,5949,5287,7359,5229,5687,7854,7936,7230,10410
"MED134_04349",4266,4154,3776,7093,7426,5375,9152,5046,7484,4870,8603,3630,3404,6588,4966,3250,3366,2531,3980,6889,3548,4200,4069,5281,4909,4663,3936,2942,2661,4193,4509,3850,5452
"MED134_04344",372,405,665,747,638,598,863,523,850,621,906,992,1170,1873,1181,916,310,230,582,718,464,482,528,643,574,594,1348,1067,989,910,888,857,1375
"MED134_04339",1121,1312,1211,1669,1949,1680,2088,1430,2150,1556,2107,1200,1575,2223,1691,1525,894,698,1313,1767,963,1335,1482,1693,1598,1687,2085,1520,1431,1123,819,976,2408
"MED134_04334",1587,1863,1434,2385,2743,2296,3005,2075,3003,2236,2879,1809,2079,3304,2112,2203,1096,865,1586,2517,1403,1861,2180,2184,2282,2220,3176,2372,1895,1663,1439,1528,3652
"MED134_04329",6391,6597,6260,11441,13489,9303,13746,8585,17493,11132,14890,14591,13776,24666,15550,14012,5277,4052,5988,12590,6318,9250,7154,12229,13529,11783,22850,14560,12623,17360,17316,15521,23390
"MED134_04324",1514,1683,1746,3182,3753,2524,3980,2400,5695,3585,4682,4187,4254,7502,3778,3203,1280,1001,1666,3221,1798,2385,1808,4046,4177,3972,6588,4781,3075,3723,3760,3374,5421
"MED134_04319",6317,6789,5413,7846,8732,6166,9786,5441,10788,6456,9677,7655,7642,14387,10546,7183,5627,3748,6173,7819,3582,4853,4670,7599,6993,6611,9513,6614,6788,9251,9114,8513,12960
"MED134_04314",6088,7439,7674,10192,9041,8074,12149,6656,4233,2897,4007,4739,4532,8048,8535,5185,6132,4571,6645,8350,4830,5543,6457,2918,2904,2852,4249,3208,4024,5870,5770,5232,7924
"MED134_04309",1359,1582,1528,2209,2041,1690,2738,1362,1048,687,901,947,855,1649,1534,1216,1379,941,1324,1830,1067,1226,1150,806,738,753,1012,714,839,1504,1509,1288,1783
"MED134_04304",3470,3760,4647,7735,7314,5787,8625,5680,9050,7002,7611,5799,5610,10391,6589,5718,2822,2782,4011,8269,5334,6860,6123,6703,7258,6561,10193,7162,5154,6363,6380,5767,9032
"MED134_04299",4918,5570,4735,11304,11101,8982,13571,7602,17668,9921,14158,9186,9726,18082,9884,7709,4642,3443,5559,10514,5124,6625,6415,11094,10603,10015,14061,10627,8179,10371,10400,9294,14552
"MED134_04294",572,598,597,897,996,692,1201,645,987,807,1111,1006,848,1685,1339,1120,502,446,572,987,487,789,577,703,779,811,1300,886,800,1132,1055,970,1554
"MED134_04289",2434,2505,2469,4162,4651,3158,4976,2831,4952,3350,4871,3795,3516,6634,5446,4068,2149,1617,2426,4258,2275,2790,2701,3704,3509,3621,4499,3586,3523,4655,4450,4155,6412
"MED134_04284",1592,1556,1258,2525,2657,1968,2991,1752,3193,1972,2669,2004,2098,3703,2486,2204,1173,792,1366,2511,1379,1594,1691,2212,1946,1972,3079,2117,1818,2593,2343,2284,3576
"MED134_04279",1366,1332,1581,2699,2906,1952,3447,1932,2796,2310,2866,2777,2586,5084,3711,3136,1047,890,1419,2797,1584,2226,1974,2423,2461,2484,3579,2688,2375,3396,3330,2939,4738
"MED134_04274",880,930,929,1880,2133,1646,2516,1488,2737,1875,2501,2287,2252,4370,2851,2395,768,608,960,2015,1077,1495,1357,2063,1925,1885,2961,2034,1981,2930,2806,2513,3922
"MED134_04269",254,267,217,496,551,466,572,356,754,490,580,460,443,754,521,501,258,155,235,473,291,366,411,500,463,448,786,532,398,525,493,492,911
"MED134_04259",16871,17776,16030,22030,25213,16442,26468,15799,25043,15864,23314,13332,12705,24832,18882,15201,14927,10461,15482,21417,10557,14794,12739,18346,17437,16066,18283,12142,13584,18691,18270,16880,25448
"MED134_04254",2243,2573,2558,3987,4249,3008,4490,2778,6453,4429,5647,5695,5686,10753,9302,7720,3295,2365,3450,6281,3957,4305,5100,5697,5541,5705,9756,8589,7776,7052,6462,6487,12433
"MED134_04249",2028,2251,2200,2798,2927,2162,3326,1871,3780,2690,3720,3727,3660,6784,5462,3833,2071,1575,2690,3556,2235,2581,2817,3171,3209,3349,5410,4657,3835,4819,4732,4527,7395
"MED134_04244",8187,9283,7809,9951,11956,7786,11768,6778,13829,8313,11822,8696,9321,16515,11353,9408,7239,5113,8068,10304,4643,6563,5799,10345,9328,9109,13069,8485,9035,11582,11290,10513,16014
"MED134_04239",2402,2641,2394,4556,5080,4123,5621,3264,6160,4198,6770,3853,4206,7020,5280,4042,1959,1481,2424,4121,2366,3431,2676,4138,3912,4055,5733,4597,4016,4481,3800,4079,6699
"MED134_04234",5829,6377,5074,7621,8383,5788,8800,5311,7783,6019,7881,5398,5318,9892,7544,5498,4289,3633,5381,7938,4234,5645,5436,6114,6376,5980,7034,5158,4486,6800,6531,5988,8897
"MED134_04229",2376,2495,1936,3411,3983,2561,3996,2275,4550,2873,4306,2292,2313,4172,2931,2260,1934,1400,2055,3338,1988,2206,2437,3416,3003,3129,2676,2188,2089,2909,2879,2626,4005
"MED134_04224",1994,2105,1758,4560,5407,3628,5572,3122,7283,4771,7788,6693,6465,11868,9457,7161,1803,1323,1968,4190,1885,2828,2604,5853,4910,4613,8515,5980,6271,8485,8551,7769,10660
"MED134_04219",780,875,591,906,1069,616,939,618,1171,651,943,557,514,985,786,675,693,458,720,828,467,574,649,798,811,712,830,732,615,745,717,641,1090
"MED134_04214",1183,1195,1037,1231,1203,737,1401,795,919,646,928,956,803,1720,1125,893,1016,722,1040,1146,603,818,673,674,709,719,1128,815,750,933,851,852,1464
"MED134_04209",1048,1021,1295,1154,1213,889,1423,942,884,708,823,950,836,1665,1103,930,743,779,1153,1315,813,1194,1035,668,790,737,1242,910,714,848,777,743,1295
"MED134_04204",1947,1921,2393,3231,3572,2453,3759,2511,4229,3134,4056,3700,3519,6502,4186,3980,1396,1361,2110,3609,2156,3067,2652,3369,3412,3350,6030,4100,3303,4146,4225,3860,5881
"MED134_04199",15287,16437,14018,22843,25619,17332,26500,15536,31013,18860,27946,24227,22743,43831,35155,25149,12120,9143,13859,21390,11234,13093,14286,21580,19183,19292,29444,21902,21318,27865,26172,24557,40231
"MED134_04194",5517,5932,3590,7284,8395,5887,8850,5046,8280,4912,8478,4867,4697,8894,6566,4868,4398,3004,4265,6507,3141,4105,3854,5652,4917,5188,5902,4279,4359,5644,5590,5082,8068
"MED134_04189",810,953,672,1266,1279,1340,1995,1013,1613,1157,1321,662,758,1380,1074,919,660,541,876,1397,829,1083,1000,1172,1302,1167,1203,763,767,1329,1222,1215,1997
"MED134_04184",2825,2917,2001,4140,4105,3322,4791,2771,4775,2961,4281,2281,2580,4441,3595,2237,2416,1597,2281,3981,2053,2340,2603,3448,3026,2911,2865,2149,2268,3179,3412,2886,4512
"MED134_04179",3034,2776,3302,4260,4206,3412,5162,3320,4451,3707,4497,2561,2461,4385,3327,2717,2350,2104,3189,4437,2436,3397,3312,3573,3749,3683,3001,2216,2139,3039,3137,2699,3819
"MED134_04174",1330,1388,1257,1960,2060,1638,2308,1468,2841,1817,2192,1332,1293,2215,1416,1381,1286,880,1398,1942,1169,1368,1518,2079,1965,1971,1983,1290,1156,1742,1659,1565,2191
"MED134_04169",1008,1121,1103,1590,1710,1221,1893,1174,2578,1672,2281,1370,1328,2521,1446,1333,995,677,1148,1695,953,1183,1064,1833,1783,1929,2076,1306,1217,1607,1482,1470,2114
"MED134_04164",496,528,425,759,866,713,901,600,1258,875,1284,863,923,1533,984,721,409,288,473,699,441,522,531,913,877,1022,1024,815,636,686,604,634,1135
"MED134_04159",1929,1990,1436,2614,3185,2052,3178,1839,4237,2428,3919,2451,2402,4267,2681,2014,1495,948,1676,2342,1251,1494,1447,2929,2618,2508,3212,2162,1764,2203,1892,1994,3261
"MED134_04154",5159,5483,4037,7230,7613,4642,7797,4592,6598,4876,6992,5372,4193,8784,6557,5073,4178,3113,4098,6853,3245,4478,4192,5072,4809,4297,6976,4936,4181,5847,5802,5273,7988
"MED134_04149",257,254,401,586,632,410,654,361,658,510,779,599,546,993,821,751,229,160,420,489,265,389,290,431,442,488,896,630,669,691,574,599,1021
"MED134_04144",1001,1121,674,1723,1891,1547,2153,1228,2069,1296,1912,2035,2269,3705,2759,1877,897,549,839,1568,778,1036,1014,1459,1319,1402,2129,1650,1741,2049,2055,1977,2821
"MED134_04139",1844,1904,1745,3389,3709,2499,3911,2263,4045,2660,4162,3742,3379,6587,5194,3569,1419,1083,1908,3204,1743,2196,2032,3021,2645,2811,4368,3127,3104,4067,3987,3794,5971
"MED134_15652",1792,1887,1812,2726,2978,2009,3211,1895,2923,2043,2875,2559,2287,4396,3344,2639,1515,1155,1835,2823,1383,2109,1868,2140,2220,2254,3213,2246,2287,2785,2590,2518,3973
"MED134_04129",1151,1192,1001,1785,1996,1488,2263,1223,2060,1284,2082,1649,1665,2955,2093,1470,952,633,958,1709,930,1086,1054,1538,1318,1331,1896,1414,1308,1831,1847,1718,2393
"MED134_04124",374,435,397,538,602,432,709,409,676,471,699,524,452,899,717,575,256,199,364,573,316,418,393,494,436,431,705,512,452,442,279,372,859
"MED134_04119",1520,1703,1344,2338,2667,2043,2906,1442,3014,1660,2961,2579,2516,4383,3091,2167,1165,851,1385,2007,1189,1277,1353,2093,1788,1728,2897,2151,1897,2392,2431,2213,3483
"MED134_04114",13038,14383,10303,16778,23410,15558,22804,13062,33951,18598,30920,17979,18478,33939,18754,15733,10359,7162,11782,17061,8283,10632,8894,23970,20038,19111,25461,16698,14824,18555,17791,16824,27394
"MED134_04109",6378,6079,6249,8013,8983,6807,10620,6380,9600,7375,9745,4759,4926,9020,6095,6377,5000,4279,6106,8249,4941,7001,5920,7798,7622,7504,7932,5381,5262,7019,6934,6359,10035
"MED134_04099",1351,1373,1286,2109,2361,1606,2626,1643,2394,1756,2412,1675,1485,2940,2182,2162,1144,912,1242,2233,1181,1766,1448,1893,1923,1901,2309,1594,1564,2167,2210,1955,2970
"MED134_04094",1078,1010,1408,1824,2050,1331,2342,1501,2134,1788,1850,1448,1213,2542,1858,1945,829,827,1182,2281,1111,1748,1278,1878,1991,1822,2115,1485,1303,1628,1572,1517,2480
"MED134_04089",483,589,479,864,933,736,1048,612,1326,871,1029,633,608,1062,631,570,416,302,509,896,501,653,554,948,918,898,934,662,476,750,674,648,1056
"MED134_04084",249,260,203,332,323,271,450,271,392,295,493,317,354,570,384,330,151,132,220,321,209,250,203,296,342,336,414,362,285,344,317,306,535
"MED134_04079",1996,2076,1791,3502,3618,2551,3942,2425,4198,2999,4143,3273,3239,5941,4257,3227,1783,1273,1843,3221,1783,2423,2531,3380,2931,3059,3978,3100,2821,3567,3763,3490,5120
"MED134_04074",1086,976,1526,1950,1953,1839,2412,1669,1963,1714,1728,1292,1295,2153,1662,1519,906,902,1191,2274,1395,2005,1647,1702,1742,1807,1852,1026,1047,1577,1688,1439,2132
"MED134_04069",14792,16053,13639,18697,21452,13974,22357,12705,24078,14126,20039,14539,12746,24661,16174,12343,13512,9402,14380,18621,9169,12431,10781,17579,16973,15569,19499,13679,11100,16483,16306,14677,20634
"MED134_04064",29155,23628,31601,35401,37897,20877,39107,29876,25842,34342,19896,7941,4764,10266,9138,15400,21881,27434,26803,44525,20539,37699,33260,32225,37514,27851,19736,10033,9307,13050,12267,11754,19480
"MED134_04059",3293,3270,2662,4411,4909,3547,4875,3165,4888,3584,5045,2428,2791,4614,2861,2546,2713,2058,2712,4207,2246,2936,3126,4197,3930,3867,3397,2641,2350,2897,2606,2548,3895
"MED134_04054",2513,2654,2875,3685,4257,3195,4584,2717,4452,3373,4554,2661,2920,5127,3202,3025,1984,1608,2616,3939,2265,3116,2792,3685,3652,3813,3776,3319,2642,3269,3225,2842,4260
"MED134_04049",2202,2182,1994,3538,3720,3055,4131,2460,4614,2732,4186,3526,3857,6149,4641,3413,1796,1264,2134,3550,1808,2188,2353,3208,2892,2964,4962,3529,3185,4680,4745,4342,6073
"MED134_04044",182,228,301,383,379,282,457,299,656,500,634,1952,1325,2586,1738,1819,174,151,255,372,230,374,321,513,589,572,4420,2785,2265,1991,1598,1777,2900
"MED134_04039",277,249,228,498,579,436,686,466,587,544,674,694,596,1180,951,950,210,219,179,578,237,490,348,537,642,522,985,560,601,769,846,793,1070
"MED134_04034",639,647,558,1200,1156,1083,1531,849,1434,974,1476,1224,1209,2121,1519,1181,555,373,599,1022,656,827,766,932,1003,1022,1508,1185,1071,1181,1157,1039,1637
"MED134_04029",589,559,591,954,1060,722,1114,672,1219,729,1165,596,502,982,817,648,451,351,616,881,498,683,598,861,790,804,723,580,572,762,709,710,987
"MED134_04024",410,372,311,578,619,556,717,444,960,531,825,389,436,747,563,421,286,166,327,566,358,433,378,592,487,556,604,425,390,469,379,430,726
"MED134_04019",1256,1702,1430,3112,3622,2771,4049,2374,4941,3287,5055,3593,3395,6428,3972,2988,1200,900,1537,2664,1615,2006,1881,3576,3109,3367,4849,4103,2921,3724,3640,3250,4718
"MED134_04014",558,662,622,27737,22081,23451,41521,14542,17501,9271,17703,1197,1000,2256,2008,1163,607,476,965,16886,11212,11456,10872,6771,7588,6109,1670,1234,1214,2194,2027,1842,2833
"MED134_04009",983,967,813,870,887,588,1051,613,1938,1298,1924,2752,2436,5150,4102,2796,1886,1515,2069,2939,1201,1751,1573,2500,2324,2272,4086,3055,3046,3353,3224,3106,5349
"MED134_04004",927,953,829,1432,1716,1063,1611,994,1772,1087,1569,1601,1559,2700,1902,1516,752,528,684,1150,638,785,774,1130,1092,1017,1917,1404,1284,1770,1720,1645,2249
"MED134_03999",864,902,735,1628,1650,1271,1769,1161,2071,1493,1929,1815,1890,3264,2444,1930,735,501,761,1499,930,1202,1269,1477,1412,1421,2598,2008,1750,1916,1716,1691,2948
"MED134_03994",1999,2154,1491,2027,2582,1765,2491,1564,2298,1796,2735,2107,2201,3845,2847,2019,1418,1031,1683,2060,1243,1669,1473,1876,1684,1767,2781,1863,1846,2319,2087,2081,3197
"MED134_03989",914,831,792,1379,1462,970,1625,965,2126,1347,1915,812,818,1639,1300,1035,698,517,761,1367,696,1011,941,1677,1513,1499,1349,940,978,1248,1230,1209,1917
"MED134_03984",1310,1314,1401,1994,2130,1582,2499,1356,2648,1901,2642,1489,1394,2775,2354,1894,1054,855,1276,1979,1019,1591,1348,2186,2123,2081,2140,1579,1738,2443,2322,2145,3291
"MED134_03979",1847,1972,1907,2738,2899,2236,3462,1811,3718,2549,2908,1992,2015,3974,2868,2491,1681,1337,1819,2687,1381,1877,1926,2946,2860,2752,3260,2375,2302,3247,3385,3099,4820
"MED134_03974",211,283,175,531,588,544,699,391,836,592,848,786,941,1631,1124,897,233,165,249,514,317,382,317,616,612,614,1362,871,916,1026,1058,980,1505
"MED134_03969",159,217,293,554,516,410,668,340,844,646,747,2334,2022,3632,3403,4111,434,363,478,1144,564,735,740,1004,1020,1020,8204,5365,5419,5418,5225,4659,7001
"MED134_03964",6236,6677,4940,10426,11826,8180,12964,7087,16659,9669,14475,7644,7276,13482,10045,7514,5087,3454,5681,9667,4846,6097,5787,11483,10663,9693,9160,7054,6499,9591,9776,8770,12173
"MED134_03959",3616,3848,3400,5044,5235,3869,6421,3603,4940,3220,5025,3842,3256,6836,5715,3339,3175,2571,3565,5091,2334,3716,3275,3586,3459,3240,3883,2782,2985,4334,4181,3860,6272
"MED134_03954",1230,1303,1327,1399,1463,1512,1832,1089,1533,925,1289,829,897,1412,1366,933,1017,765,1102,1582,981,1345,1169,1022,1086,938,1274,685,747,1218,1316,1134,1643
"MED134_03949",584,660,503,827,969,833,1072,604,1098,671,968,535,538,958,796,620,492,347,518,844,433,530,590,808,798,689,753,548,538,681,723,652,1124
"MED134_03944",1488,1733,2101,2619,2964,1461,2866,1770,2814,2555,3073,1908,1474,3240,3158,2427,1171,979,1699,2746,1317,2452,2213,2298,2677,2691,2554,2247,2194,2657,2349,2302,3125
"MED134_03939",5074,5359,6305,8816,10393,6566,10743,6560,11122,8772,11674,6784,5875,11872,9776,8139,3672,2950,5712,8536,4806,6725,6147,8778,8964,8260,8808,6384,6602,7948,7687,7026,11086
"MED134_03934",1875,1904,2122,2921,3382,2512,3767,2192,2990,2344,3772,2778,2828,5076,3698,2569,1395,1207,1941,2876,1729,2112,1997,2279,2400,2259,3168,2491,2230,2677,2484,2479,3803
"MED134_03929",5679,6329,6202,8988,10025,6690,10331,5721,11719,7173,10748,8224,7320,13993,8604,5997,4981,3682,6330,8674,5045,6002,5777,8194,7839,7770,9666,6836,5280,7249,6767,6519,9931
"MED134_03924",6951,7139,7739,11371,12638,9013,14646,9197,13255,9732,12765,8305,7820,15037,9370,8150,6848,5004,7358,12389,6197,8675,7521,11106,10919,10778,11190,7121,6502,9577,9828,8715,12604
"MED134_03919",514,539,587,575,706,483,775,421,409,312,595,594,520,1044,741,503,427,292,627,580,347,410,362,325,305,372,662,509,424,568,540,527,825
"MED134_03914",370,400,422,512,547,427,590,379,457,387,521,577,580,1079,721,587,326,238,438,505,255,355,295,416,376,382,683,454,516,556,593,594,846
